ts,exit_ts,symbol,exchange,tf,predictor,session,direction,entry_price,sl,tp1,risk_price,outcome_2r,hit_2r,planned_rr,duration_min,return_pct,mfe_r,mae_r,exit_reason,review_bucket,setup,trend_strength,consolidation_state,shock_alignment,compression_state,base_net_r,stress_net_r,notes_hint
2025-07-09 12:00:00+00:00,2025-07-09 14:30:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,long,109388.01,108823.07,110517.88999999997,564.9399999999878,-1.3872553191489445,False,2.0,150.0,-0.2774510638297889,0.6750805395263443,-1.566555740432637,stop,accepted_trade,context_change,transition,transition,no_shock,expanded,-1.1161765957446834,-1.3872553191489445,Full accepted trade. setup=context_change; session=ny; context=transition/transition/no_shock; stressR=-1.39.
2025-07-11 12:00:00+00:00,2025-07-11 13:30:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,long,118235.01,117583.16,119538.70999999998,651.8499999999913,-1.3627675385441484,False,2.0,90.0,-0.2725535077088297,1.5340952687448585e-05,-1.4751246452404856,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.1088302615632446,-1.3627675385441484,Full accepted trade. setup=context_change; session=ny; context=trend/directional/no_shock; stressR=-1.36.
2025-07-18 00:30:00+00:00,2025-07-18 08:30:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,119741.14,119020.48,121182.46,720.6600000000035,-1.332309660588903,False,2.0,480.0,-0.26646193211778063,1.4980295839924538,-1.8679266228179625,stop,accepted_trade,context_change,transition,transition,no_shock,normal,-1.099692898176671,-1.332309660588903,Full accepted trade. setup=context_change; session=asia; context=transition/transition/no_shock; stressR=-1.33.
2025-08-01 09:45:00+00:00,2025-08-01 13:00:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,114938.67,115916.43,112983.15000000001,977.7599999999948,-1.2351060996563588,False,2.0,195.0,-0.24702121993127177,0.3439187530682436,-1.1052098674521462,stop,accepted_trade,context_change,strong_trend,directional,no_shock,normal,-1.0705318298969075,-1.2351060996563588,Full accepted trade. setup=context_change; session=london; context=strong_trend/directional/no_shock; stressR=-1.24.
2025-08-01 16:45:00+00:00,2025-08-01 19:00:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,115015.6,115695.52,113655.76000000001,679.9199999999983,1.6616790210613004,True,2.0,135.0,0.33233580421226006,2.051123661607262,-0.11961701376630693,target,accepted_trade,context_change,weak_or_range,range,no_shock,normal,1.89850370631839,1.6616790210613004,Full accepted trade. setup=context_change; session=ny; context=weak_or_range/range/no_shock; stressR=1.66.
2025-08-20 01:15:00+00:00,2025-08-20 03:15:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,112944.8,113552.03,111730.34000000001,607.2299999999959,-1.3720000658729008,False,2.0,120.0,-0.2744000131745802,0.6237998781351558,-1.094988719266189,stop,accepted_trade,context_change,transition,transition,no_shock,normal,-1.1116000197618703,-1.3720000658729008,Full accepted trade. setup=context_change; session=asia; context=transition/transition/no_shock; stressR=-1.37.
2025-08-26 16:00:00+00:00,2025-08-26 18:30:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,109509.45,110552.86,107422.62999999999,1043.4100000000035,-1.209906843906038,False,2.0,150.0,-0.24198136878120763,0.05697664388878475,-1.4190011596591952,stop,accepted_trade,context_change,weak_or_range,range,no_shock,normal,-1.0629720531718114,-1.209906843906038,Full accepted trade. setup=context_change; session=ny; context=weak_or_range/range/no_shock; stressR=-1.21.
2025-09-25 16:15:00+00:00,2025-09-25 17:30:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,111116.0,111854.12,109639.76000000001,738.1199999999953,1.6989215845661934,True,2.0,75.0,0.3397843169132387,2.3599685687964196,-0.2290413482902492,target,accepted_trade,context_change,transition,range_to_trend_transition,no_shock,normal,1.909676475369858,1.6989215845661934,Full accepted trade. setup=context_change; session=ny; context=transition/range_to_trend_transition/no_shock; stressR=1.70.
2025-10-06 00:00:00+00:00,2025-10-06 13:15:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,123514.0,122856.05,124829.9,657.9499999999971,1.624548977885856,True,2.0,795.0,0.3249097955771712,2.143095979937699,-0.6535451022114172,target,accepted_trade,context_change,trend,directional,no_shock,expanded,1.8873646933657569,1.624548977885856,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=1.62.
2025-10-11 00:00:00+00:00,2025-10-12 00:00:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,112344.76,113973.0,102000.0,1628.2400000000052,-0.13799533238343198,False,6.353338574165947,1440.0,-0.027599066476686394,1.7093118950523198,-0.6004213138112326,expiry,accepted_trade,context_change,strong_trend,directional,no_shock,expanded,-0.041398599715029585,-0.13799533238343198,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=-0.14.
2025-10-12 02:30:00+00:00,2025-10-12 03:00:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,110243.85,111291.61,108148.33000000002,1047.7599999999948,-1.2104372184469736,False,2.0,30.0,-0.24208744368939472,0.6145014125372309,-1.0730415362296701,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.063131165534092,-1.2104372184469736,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=-1.21.
2025-10-14 04:00:00+00:00,2025-10-15 04:00:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,113430.01,115409.96,109470.10999999997,1979.9500000000116,-0.11457866107729925,False,2.0,1440.0,-0.02291573221545985,1.800050506325904,-0.1318164600116183,expiry,accepted_trade,context_change,strong_trend,directional,no_shock,expanded,-0.03437359832318977,-0.11457866107729925,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=-0.11.
2025-10-15 12:00:00+00:00,2025-10-15 13:45:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,111992.58,112600.0,110777.74,607.4199999999983,1.6312515886865748,True,2.0,105.0,0.32625031773731494,2.086167725791069,-0.03529682921208124,target,accepted_trade,context_change,transition,transition,no_shock,expanded,1.8893754766059725,1.6312515886865748,Full accepted trade. setup=context_change; session=ny; context=transition/transition/no_shock; stressR=1.63.
2025-10-16 14:00:00+00:00,2025-10-17 06:30:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,110227.08,111728.7,107223.84000000001,1501.6199999999953,1.8531891157549842,True,2.0,990.0,0.37063782315099686,2.2156604200796552,-0.7944353431627216,target,accepted_trade,context_change,transition,transition,no_shock,normal,1.9559567347264952,1.8531891157549842,Full accepted trade. setup=context_change; session=ny; context=transition/transition/no_shock; stressR=1.85.
2025-11-05 01:00:00+00:00,2025-11-05 02:00:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,100386.46,101119.4,98920.58000000003,732.9399999999878,-1.273928179660004,False,2.0,60.0,-0.2547856359320008,1.9369389035937827,-1.6284279750047936,stop,accepted_trade,context_change,weak_or_range,range,no_shock,normal,-1.0821784538980013,-1.273928179660004,Full accepted trade. setup=context_change; session=asia; context=weak_or_range/range/no_shock; stressR=-1.27.
2025-11-06 12:30:00+00:00,2025-11-06 13:15:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,102449.13,103288.59,100770.21000000002,839.4599999999919,-1.244083410764065,False,2.0,45.0,-0.24881668215281302,0.07801443785291244,-1.402484930788856,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.0732250232292195,-1.244083410764065,Full accepted trade. setup=context_change; session=ny; context=trend/directional/no_shock; stressR=-1.24.
2025-11-14 03:00:00+00:00,2025-11-14 04:30:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,99349.21,99866.02,98315.59000000001,516.8099999999977,1.6155290725798632,True,2.0,90.0,0.32310581451597264,5.102629593080674,-0.03877633946710336,target,accepted_trade,context_change,transition,transition,no_shock,normal,1.884658721773959,1.6155290725798632,Full accepted trade. setup=context_change; session=asia; context=transition/transition/no_shock; stressR=1.62.
2025-11-17 16:00:00+00:00,2025-11-18 16:00:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,93176.54,95868.99,87791.63999999997,2692.4500000000116,-0.06921319987372065,False,2.0,1440.0,-0.013842639974744131,1.4569481327415468,-0.46178759122732294,expiry,accepted_trade,context_change,trend,directional,no_shock,normal,-0.020763959962116194,-0.06921319987372065,Full accepted trade. setup=context_change; session=ny; context=trend/directional/no_shock; stressR=-0.07.
2025-11-19 04:00:00+00:00,2025-11-19 15:45:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,91744.37,92661.76,89909.59,917.3899999999994,1.79998829287435,True,2.0,705.0,0.35999765857487,2.032254548229212,-0.6978929353928053,target,accepted_trade,context_change,trend,directional,no_shock,normal,1.939996487862305,1.79998829287435,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=1.80.
2025-11-22 08:15:00+00:00,2025-11-22 14:15:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,84224.54,84662.0,83349.61999999998,437.4600000000064,-1.3850616742102078,False,2.0,360.0,-0.2770123348420416,1.6562428564896974,-1.2144881817766204,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.1155185022630623,-1.3850616742102078,Full accepted trade. setup=context_change; session=london; context=trend/directional/no_shock; stressR=-1.39.
2025-12-01 04:00:00+00:00,2025-12-02 04:00:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,86032.04,91351.61,75392.89999999998,5319.570000000007,-0.03234548657128297,False,2.0,1440.0,-0.006469097314256594,0.41531176392076724,-0.24775686756636434,expiry,accepted_trade,context_change,strong_trend,directional,no_shock,expanded,-0.00970364597138489,-0.03234548657128297,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=-0.03.
2025-12-07 13:15:00+00:00,2025-12-07 14:15:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,88926.37,89388.0,88003.10999999999,461.63000000000466,1.6147288087862612,True,2.0,60.0,0.32294576175725226,2.3546779888654976,-0.41078352793363243,target,accepted_trade,context_change,trend,directional,no_shock,normal,1.8844186426358784,1.6147288087862612,Full accepted trade. setup=context_change; session=ny; context=trend/directional/no_shock; stressR=1.61.
2025-12-29 07:45:00+00:00,2025-12-29 09:45:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,long,89617.71,87849.42,93154.29000000002,1768.2900000000081,-1.101360874064774,False,2.0,120.0,-0.22027217481295483,0.11723190200701661,-1.0448568956449407,stop,accepted_trade,context_change,strong_trend,directional,no_shock,normal,-1.0304082622194322,-1.101360874064774,Full accepted trade. setup=context_change; session=london; context=strong_trend/directional/no_shock; stressR=-1.10.
2026-01-05 14:30:00+00:00,2026-01-05 20:15:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,long,93283.28,92535.41,94779.01999999999,747.8699999999953,1.750536109216841,True,2.0,345.0,0.35010722184336823,2.0134515356947227,-0.468784681829728,target,accepted_trade,context_change,trend,directional,no_shock,normal,1.9251608327650522,1.750536109216841,Full accepted trade. setup=context_change; session=ny; context=trend/directional/no_shock; stressR=1.75.
2026-01-20 08:00:00+00:00,2026-01-20 18:45:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,91004.59,91805.04,89403.69,800.4499999999971,1.7726164282591035,True,2.0,645.0,0.35452328565182073,2.0107689424698547,-0.5475545005934284,target,accepted_trade,context_change,strong_trend,directional,no_shock,expanded,1.931784928477731,1.7726164282591035,Full accepted trade. setup=context_change; session=london; context=strong_trend/directional/no_shock; stressR=1.77.
2026-01-21 01:45:00+00:00,2026-01-21 05:30:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,89020.91,89645.56,87771.61000000002,624.6499999999942,-1.2850265268550416,False,2.0,225.0,-0.25700530537100835,0.03347474585768621,-1.4636676538861881,stop,accepted_trade,context_change,strong_trend,directional,no_shock,normal,-1.0855079580565123,-1.2850265268550416,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=-1.29.
2026-01-25 16:00:00+00:00,2026-01-25 23:00:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,87904.72,88760.35,86193.45999999999,855.6300000000047,1.7945263256314072,True,2.0,420.0,0.35890526512628146,2.138774937765144,-0.28286759463786626,target,accepted_trade,context_change,trend,directional,no_shock,normal,1.9383578976894222,1.7945263256314072,Full accepted trade. setup=context_change; session=ny; context=trend/directional/no_shock; stressR=1.79.
2026-01-30 05:45:00+00:00,2026-01-30 06:45:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,82914.19,83329.36,82083.85,415.16999999999825,1.6005771611628954,True,2.0,60.0,0.3201154322325791,2.0668882626394107,-0.012091432425281441,target,accepted_trade,context_change,strong_trend,directional,no_shock,expanded,1.8801731483488686,1.6005771611628954,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=1.60.
2026-02-01 05:30:00+00:00,2026-02-01 09:45:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,78581.34,79060.44,77623.13999999998,479.1000000000058,-1.3280373199749491,False,2.0,255.0,-0.2656074639949898,1.2808390732623391,-1.1579211020663798,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.0984111959924847,-1.3280373199749491,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=-1.33.
2026-02-02 03:00:00+00:00,2026-02-02 09:45:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,75890.1,77740.91,72188.48000000001,1850.8099999999977,-1.0820074453887758,False,2.0,405.0,-0.21640148907775517,0.6948849422685243,-1.040031121508959,stop,accepted_trade,context_change,weak_or_range,range,no_shock,normal,-1.0246022336166327,-1.0820074453887758,Full accepted trade. setup=context_change; session=asia; context=weak_or_range/range/no_shock; stressR=-1.08.
